ID_Unique,Sand_gkg,Clay_gkg,SOM_gkg,Ca_mmolkg,Mg_mmolkg,CEC_Ph7_mmolkg,Vegetation,Bioma,Geology,Sampling,MIR_availability,Region,Sand_gkg_ausente,Clay_gkg_ausente,SOM_gkg_ausente,Ca_mmolkg_ausente,Mg_mmolkg_ausente,CEC_Ph7_mmolkg_ausente
34734,460.0,380.0,33.3,5.0,2.0,7.0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
34735,600.0,300.0,21.7,2.3,0.8,3.1,Areas of Ecological Tension,Cerrado,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
34736,510.0,420.0,28.1,5.6,4.0,9.6,Areas of Ecological Tension,Cerrado,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
34737,60.0,530.0,19.2,12.9,8.4,21.3,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
34738,80.0,460.0,25.6,2.4,2.6,5.0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
34739,140.0,770.0,69.1,2.5,1.0,3.5,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
34740,110.0,740.0,47.3,33.0,9.3,42.3,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
34741,590.0,320.0,38.4,21.4,6.9,28.3,Areas of Ecological Tension,Cerrado,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
34742,750.0,130.0,38.4,13.3,2.4,15.7,Seasonal Semideciduous Forest,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
34743,120.0,510.0,47.3,2.3,0.6,2.9,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
34744,150.0,540.0,51.2,5.6,5.0,10.6,Seasonal Semideciduous Forest,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
34745,290.0,230.0,32.0,4.4,1.1,5.5,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
34746,310.0,580.0,29.4,2.7,0.4,3.1,Seasonal Semideciduous Forest,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
34747,430.0,470.0,57.6,2.8,1.0,3.8,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
34748,220.0,610.0,39.7,3.6,1.1,4.7,Seasonal Semideciduous Forest,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
34749,360.0,550.0,52.5,10.4,5.8,16.2,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
34750,230.0,510.0,39.7,5.3,3.8,9.1,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
