ID_Unique,Sand_gkg,Clay_gkg,SOM_gkg,Ca_mmolkg,Mg_mmolkg,CEC_Ph7_mmolkg,Vegetation,Bioma,Geology,Sampling,MIR_availability,Region,Sand_gkg_ausente,Clay_gkg_ausente,SOM_gkg_ausente,Ca_mmolkg_ausente,Mg_mmolkg_ausente,CEC_Ph7_mmolkg_ausente
223,34.37,727.41,5.99,0.7,0.5,4.3,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Profile,NO,South,0,0,0,0,0,0
12634,809.0,150.0,18.0,30.2,12.2,57.7,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
12324,400.0,512.5,23.7,19.9,11.6,60.0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
12464,850.1,124.9,15.0,11.4,7.3,34.9,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
24176,830.0,159.0,9.0,13.0,6.0,38.5,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
10819,885.6,87.4,10.0,4.9,2.8,39.5,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
34330,200.0,290.0,34.0,20.0,10.0,30.0,Savannah,Cerrado,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
31531,610.0,240.0,21.0,4.0,5.0,43.8,Savannah,Amazonia,Igneous Rock,Auger,NO,North,0,0,0,0,0,0
14800,740.0,160.0,23.0,32.0,6.0,44.6,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Profile,YES,Southeast,0,0,0,0,0,0
181,637.0,240.0,35.0,13.0,5.2,44.1,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,1,1,0,1,1,1
21595,790.0,124.0,15.0,11.0,5.0,42.3,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
