ID_Unique,Sand_gkg,Clay_gkg,SOM_gkg,Ca_mmolkg,Mg_mmolkg,CEC_Ph7_mmolkg,Vegetation,Bioma,Geology,Sampling,MIR_availability,Region,Sand_gkg_ausente,Clay_gkg_ausente,SOM_gkg_ausente,Ca_mmolkg_ausente,Mg_mmolkg_ausente,CEC_Ph7_mmolkg_ausente
16006,637.0,240.0,17.0,4.0,14.0,23.8,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Profile,YES,Southeast,1,1,1,0,0,0
9257,895.0,90.0,9.0,0.6,0.4,14.2,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
12280,467.8,399.8,19.7,25.5,10.5,61.3,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
13267,890.0,10.0,17.0,13.0,5.2,44.1,Dense Ombrophylous Forest,Pampa,Metamorphic Rock,Desconhecido,NO,South,0,0,1,1,1,1
2204,120.0,430.0,6.9,1.0,4.0,110.7,Seasonal Semideciduous Forest,Mata Atlantica,Metamorphic Rock,Profile,NO,Southeast,0,0,0,0,0,0
30936,700.0,240.0,7.0,6.0,1.0,23.3,Savannah,Amazonia,Igneous Rock,Auger,NO,North,0,0,0,0,0,0
22789,740.0,202.0,11.0,2.0,1.0,23.1,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
22150,790.0,149.0,18.0,9.0,3.0,41.0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
12714,210.0,430.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
31064,640.0,300.0,24.0,1.0,1.0,60.8,Savannah,Amazonia,Igneous Rock,Auger,NO,North,0,0,0,0,0,0
12175,762.6,174.9,19.2,27.3,15.9,72.5,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
32710,690.0,210.0,12.5,8.1,5.1,13.2,Dense Ombrophylous Forest,Amazonia,Igneous Rock,Auger,YES,North,0,0,0,0,0,0
29816,70.0,750.0,39.0,50.0,13.0,136.8,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
10438,672.0,305.0,15.6,8.2,0.9,33.3,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
34466,100.0,400.0,68.0,71.0,13.0,84.0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
22798,760.0,166.0,11.0,3.0,1.0,24.1,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
12707,70.0,640.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,YES,South,0,0,1,1,1,1
19355,660.0,280.0,10.0,1.0,1.0,37.1,Desconhecido,Amazonia,Igneous Rock,Auger,NO,North,0,0,0,0,0,0
10495,891.0,91.0,7.6,15.9,5.0,23.8,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
15552,480.0,280.0,27.0,49.0,10.0,112.8,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Profile,YES,Southeast,0,0,0,0,0,0
11918,852.6,124.9,12.9,2.8,1.8,45.8,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
19249,640.0,340.0,23.0,3.0,1.0,41.1,Desconhecido,Amazonia,Igneous Rock,Auger,NO,North,0,0,0,0,0,0
14222,162.0,680.0,17.0,13.0,5.2,44.1,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,1,1,1,1
29071,909.0,75.0,13.4,17.5,6.6,42.1,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
1872,190.0,350.0,62.93,13.0,5.2,44.1,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,South,0,0,0,1,1,1
34693,60.0,510.0,52.5,24.8,4.7,29.5,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
14928,180.0,760.0,29.0,10.0,6.0,44.3,Savannah,Cerrado,Igneous Rock,Profile,YES,Southeast,0,0,0,0,0,0
34688,160.0,270.0,26.9,2.4,0.6,3.0,Seasonal Semideciduous Forest,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
929,835.0,86.0,13.24,23.2,5.1,97.9,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,South,0,0,0,0,0,0
26555,730.0,255.0,13.0,24.0,10.0,50.2,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
20176,860.0,120.0,15.0,1.0,1.0,27.4,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
32569,260.0,550.0,25.7,1.4,0.9,2.3,Dense Ombrophylous Forest,Amazonia,Igneous Rock,Profile,NO,North,0,0,0,0,0,0
14112,50.0,690.0,17.0,13.0,5.2,44.1,Savannah,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
19362,680.0,280.0,18.0,1.0,1.0,52.1,Desconhecido,Amazonia,Igneous Rock,Auger,NO,North,0,0,0,0,0,0
34357,750.0,150.0,14.0,33.0,7.0,40.0,Areas of Ecological Tension,Caatinga,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
10566,903.0,77.0,6.6,0.2,0.2,15.5,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
19680,450.0,490.0,26.0,2.0,1.0,43.0,Desconhecido,Amazonia,Igneous Rock,Auger,NO,North,0,0,0,0,0,0
31861,388.0,297.0,17.0,1.2,0.5,14.67,Savannah,Amazonia,Metamorphic Rock,Auger,NO,North,0,0,1,0,0,0
259,18.93,758.53,9.98,0.4,0.2,7.9,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Profile,NO,South,0,0,0,0,0,0
3358,841.0,66.0,15.0,7.1,3.9,21.2,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
29965,190.0,700.0,35.0,29.0,10.0,94.7,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
3195,840.0,73.0,10.4,3.5,2.4,31.2,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
11540,513.3,349.8,33.8,43.6,27.0,120.1,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
13359,150.0,450.0,17.0,13.0,5.2,44.1,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,Desconhecido,YES,South,0,0,1,1,1,1
27355,618.0,328.0,22.3,29.4,9.3,61.4,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
21396,790.0,159.0,13.0,16.0,8.0,48.4,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
4099,902.0,35.0,17.0,8.0,2.0,18.6,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,1,0,0,0
12181,571.2,300.2,37.4,62.7,30.6,113.4,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
862,904.0,40.0,9.12,3.2,1.0,41.4,Seasonal Deciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,South,0,0,0,0,0,0
30532,190.0,610.0,29.0,11.0,6.0,77.3,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
13977,110.0,560.0,17.0,13.0,5.2,44.1,Savannah,Mata Atlantica,Igneous Rock,Desconhecido,YES,South,0,0,1,1,1,1
7182,758.0,128.0,15.4,13.8,7.2,40.5,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
29505,430.0,510.0,16.0,1.0,1.0,66.6,Savannah,Amazonia,Sedimentary Rock,Auger,NO,North,0,0,0,0,0,0
6125,714.0,151.0,14.3,42.6,11.8,74.9,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
10058,912.0,65.0,11.0,15.9,4.9,23.0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
3929,787.0,198.0,16.6,13.0,5.2,44.1,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,1,1,1
170,637.0,240.0,24.0,13.0,5.2,44.1,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,1,1,0,1,1,1
34237,530.0,430.0,2.2222223,3.0,3.0,46.0,Seasonal Deciduous Forest,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
24592,470.0,312.0,21.0,22.0,8.0,70.3,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
34,788.0,167.0,14.0,17.0,5.0,38.0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
29517,880.0,80.0,8.888889,1.0,1.0,33.5,Savannah,Amazonia,Sedimentary Rock,Auger,NO,North,0,0,0,0,0,0
19838,740.0,200.0,22.0,5.0,1.0,45.0,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
23465,800.0,156.0,7.0,7.0,4.0,23.3,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
