Sand_gkg,Clay_gkg,SOM_gkg,Ca_mmolkg,Mg_mmolkg,CEC_Ph7_mmolkg,Sand_gkg_ausente,Clay_gkg_ausente,SOM_gkg_ausente,Ca_mmolkg_ausente,Mg_mmolkg_ausente,CEC_Ph7_mmolkg_ausente,Vegetation,Bioma,Geology,Sampling,MIR_availability,Region
273.0,580.0,32.0,10.0,3.0,49.4,0,0,0,0,0,0,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest
628.1,299.9,20.8,7.1,3.1,41.9,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
180.0,680.0,41.0,33.0,17.0,111.2,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Profile,YES,Midwest
781.0,154.0,14.0,23.0,8.0,49.1,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
865.2,84.9,14.2,24.6,12.2,50.1,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
855.0,113.0,10.0,1.0,1.0,41.0,0,0,0,0,0,0,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest
860.0,80.0,17.0,4.0,4.0,44.6,0,0,0,0,0,0,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Auger,NO,Midwest
774.8,149.8,23.0,17.1,6.9,54.5,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
373.1,499.5,54.8,78.9,21.1,129.4,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
310.0,600.0,17.0,8.0,3.0,49.6,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Profile,YES,Midwest
510.0,314.0,15.0,37.0,15.0,71.3,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
840.0,100.0,20.0,9.0,5.0,38.6,0,0,0,0,0,0,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Auger,NO,Midwest
850.0,119.0,6.0,1.0,1.0,24.6,0,0,0,0,0,0,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest
60.0,800.0,8.0,5.0,2.0,35.9,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Profile,YES,Midwest
280.8,624.7,18.9,15.0,6.0,93.1,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
825.7,99.9,12.0,13.4,3.9,37.7,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
810.0,125.0,21.0,19.0,10.0,48.2,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Profile,YES,Midwest
895.0,80.0,9.0,2.0,1.4,15.9,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
810.0,167.0,12.0,14.0,7.0,33.6,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
903.0,70.0,8.0,0.7,0.5,15.7,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
530.0,440.0,23.0,19.8,4.4,47.4,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
190.0,670.0,35.0,68.0,20.0,178.8,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest
800.0,120.0,16.0,1.0,1.0,34.3,0,0,0,0,0,0,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Auger,NO,Midwest
181.4,588.7,17.0,13.0,5.2,44.1,0,0,1,1,1,1,Savannah,Cerrado,Sedimentary Rock,Profile,NO,Midwest
637.0,240.0,32.0,13.0,5.2,44.1,1,1,0,1,1,1,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest
117.7352,654.25323,11.0,13.0,5.2,44.1,0,0,0,1,1,1,Savannah,Cerrado,Sedimentary Rock,Profile,NO,Midwest
880.0,100.0,13.0,1.0,1.0,30.6,0,0,0,0,0,0,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Auger,NO,Midwest
130.0,760.0,19.0,15.0,4.0,44.8,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Midwest
829.0,144.0,11.0,6.0,4.0,22.1,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
